#  
#   T (K)        V_T(T) (a.u.)^3        B_0(T) (kbar)     dB0/dp       free energy (Ry) 
 0.49000E+03   0.1043540489092E+03   0.8188150056849E+03   0.4899719874698E+01  -0.4188296202250E+01
 0.49300E+03   0.1043540852644E+03   0.8188313105091E+03   0.4899943613415E+01  -0.4188297322153E+01
 0.49600E+03   0.1043540856277E+03   0.8188466784986E+03   0.4900639991360E+01  -0.4188298453104E+01
 0.49900E+03   0.1043541275145E+03   0.8188497456143E+03   0.4901078917413E+01  -0.4188299584757E+01
 0.50200E+03   0.1043541743294E+03   0.8188714208979E+03   0.4900903077874E+01  -0.4188300729994E+01
 0.50500E+03   0.1043541842987E+03   0.8188834194268E+03   0.4901492027948E+01  -0.4188301876109E+01
 0.50800E+03   0.1043541992443E+03   0.8188940164155E+03   0.4902150430358E+01  -0.4188303034289E+01
 0.51100E+03   0.1043542126324E+03   0.8189037525581E+03   0.4902700518756E+01  -0.4188304192528E+01
 0.51400E+03   0.1043542585136E+03   0.8189169494011E+03   0.4902877390024E+01  -0.4188305364013E+01
 0.51700E+03   0.1043542446863E+03   0.8189305875906E+03   0.4903881118329E+01  -0.4188306539169E+01
 0.52000E+03   0.1043543097550E+03   0.8189509571958E+03   0.4903680055169E+01  -0.4188307721432E+01
 0.52300E+03   0.1043543091297E+03   0.8189608091037E+03   0.4904603916369E+01  -0.4188308909769E+01
 0.52600E+03   0.1043543645243E+03   0.8189729939340E+03   0.4904653858799E+01  -0.4188310106551E+01
 0.52900E+03   0.1043543918854E+03   0.8189904280440E+03   0.4905063587216E+01  -0.4188311309770E+01
 0.53200E+03   0.1043544058287E+03   0.8189915246875E+03   0.4905852244821E+01  -0.4188312513959E+01
 0.53500E+03   0.1043544574927E+03   0.8190154527522E+03   0.4905847005947E+01  -0.4188313729928E+01
 0.53800E+03   0.1043544731610E+03   0.8190233160484E+03   0.4906719855273E+01  -0.4188314952690E+01
 0.54100E+03   0.1043545108180E+03   0.8190358572042E+03   0.4906861493267E+01  -0.4188316177496E+01
 0.54400E+03   0.1043545404943E+03   0.8190509231804E+03   0.4907417320462E+01  -0.4188317414918E+01
 0.54700E+03   0.1043545651168E+03   0.8190647198940E+03   0.4907885308973E+01  -0.4188318656021E+01
 0.55000E+03   0.1043545841097E+03   0.8190682529332E+03   0.4908641564942E+01  -0.4188319900646E+01
 0.55300E+03   0.1043546232820E+03   0.8190882658608E+03   0.4908975973337E+01  -0.4188321156203E+01
 0.55600E+03   0.1043546557927E+03   0.8190914896996E+03   0.4909464832311E+01  -0.4188322416049E+01
 0.55900E+03   0.1043547138691E+03   0.8191154957583E+03   0.4909484238144E+01  -0.4188323687941E+01
 0.56200E+03   0.1043547625396E+03   0.8191345629343E+03   0.4909898180705E+01  -0.4188324964661E+01
 0.56500E+03   0.1043547711608E+03   0.8191371273477E+03   0.4910695023142E+01  -0.4188326242618E+01
 0.56800E+03   0.1043548302828E+03   0.8191554503768E+03   0.4910836019013E+01  -0.4188327530309E+01
 0.57100E+03   0.1043548753238E+03   0.8191662217972E+03   0.4911179252454E+01  -0.4188328823794E+01
 0.57400E+03   0.1043548862652E+03   0.8191771245291E+03   0.4912063037195E+01  -0.4188330122375E+01
 0.57700E+03   0.1043549366277E+03   0.8191881342682E+03   0.4912296919590E+01  -0.4188331431122E+01
 0.58000E+03   0.1043549790940E+03   0.8191993585264E+03   0.4912922125938E+01  -0.4188332742989E+01
 0.58300E+03   0.1043550431158E+03   0.8192136785850E+03   0.4912952695793E+01  -0.4188334060573E+01
 0.58600E+03   0.1043550453994E+03   0.8192248213526E+03   0.4913916818399E+01  -0.4188335388288E+01
 0.58900E+03   0.1043551267654E+03   0.8192396429375E+03   0.4913841587577E+01  -0.4188336721738E+01
 0.59200E+03   0.1043551531857E+03   0.8192530827568E+03   0.4914561299027E+01  -0.4188338060138E+01
 0.59500E+03   0.1043552090428E+03   0.8192682777522E+03   0.4914834268608E+01  -0.4188339405227E+01
 0.59800E+03   0.1043552638631E+03   0.8192826893646E+03   0.4915060949486E+01  -0.4188340760801E+01
 0.60100E+03   0.1043552864872E+03   0.8192919427581E+03   0.4915984318707E+01  -0.4188342122793E+01
 0.60400E+03   0.1043553656137E+03   0.8193082725398E+03   0.4915876909097E+01  -0.4188343483439E+01
 0.60700E+03   0.1043554070490E+03   0.8193188379248E+03   0.4916352060532E+01  -0.4188344861003E+01
 0.61000E+03   0.1043554397800E+03   0.8193268957274E+03   0.4917277014141E+01  -0.4188346234674E+01
 0.61300E+03   0.1043555230069E+03   0.8193533792216E+03   0.4917008488971E+01  -0.4188347626415E+01
 0.61600E+03   0.1043555605718E+03   0.8193527679274E+03   0.4917865872268E+01  -0.4188349011269E+01
 0.61900E+03   0.1043556250679E+03   0.8193747025724E+03   0.4917928601960E+01  -0.4188350414203E+01
 0.62200E+03   0.1043556578531E+03   0.8193840312028E+03   0.4918727759838E+01  -0.4188351818696E+01
 0.62500E+03   0.1043557217588E+03   0.8194004739322E+03   0.4918917186062E+01  -0.4188353231644E+01
 0.62800E+03   0.1043557853214E+03   0.8194165491276E+03   0.4919265836656E+01  -0.4188354651905E+01
 0.63100E+03   0.1043558286544E+03   0.8194278852203E+03   0.4919808269064E+01  -0.4188356074886E+01
 0.63400E+03   0.1043558994630E+03   0.8194393663777E+03   0.4920163345915E+01  -0.4188357503921E+01
 0.63700E+03   0.1043559673803E+03   0.8194529715185E+03   0.4920448041086E+01  -0.4188358940981E+01
 0.64000E+03   0.1043560180365E+03   0.8194712774544E+03   0.4920724250114E+01  -0.4188360386752E+01
 0.64300E+03   0.1043560976649E+03   0.8194780755615E+03   0.4921006382706E+01  -0.4188361835585E+01
 0.64600E+03   0.1043561689716E+03   0.8195019744792E+03   0.4921202251245E+01  -0.4188363296831E+01
 0.64900E+03   0.1043562056688E+03   0.8195064124568E+03   0.4921993447358E+01  -0.4188364756132E+01
 0.65200E+03   0.1043562763475E+03   0.8195178109627E+03   0.4922404164365E+01  -0.4188366223243E+01
 0.65500E+03   0.1043563482449E+03   0.8195402763107E+03   0.4922552441099E+01  -0.4188367703681E+01
 0.65800E+03   0.1043563806057E+03   0.8195471094001E+03   0.4923462273250E+01  -0.4188369184241E+01
 0.66100E+03   0.1043564626880E+03   0.8195609494546E+03   0.4923602893765E+01  -0.4188370673785E+01
 0.66400E+03   0.1043565287483E+03   0.8195647028404E+03   0.4924245329887E+01  -0.4188372167296E+01
 0.66700E+03   0.1043566217799E+03   0.8195801803439E+03   0.4924206024555E+01  -0.4188373666775E+01
 0.67000E+03   0.1043566408096E+03   0.8195959366813E+03   0.4925181521626E+01  -0.4188375179376E+01
 0.67300E+03   0.1043567380593E+03   0.8196081608250E+03   0.4925207682423E+01  -0.4188376694341E+01
 0.67600E+03   0.1043568268958E+03   0.8196287574809E+03   0.4925267737854E+01  -0.4188378216582E+01
 0.67900E+03   0.1043568927614E+03   0.8196362908643E+03   0.4925872179923E+01  -0.4188379740629E+01
 0.68200E+03   0.1043569714033E+03   0.8196501108165E+03   0.4926179736355E+01  -0.4188381278133E+01
 0.68500E+03   0.1043570399650E+03   0.8196599660618E+03   0.4926526822425E+01  -0.4188382818992E+01
 0.68800E+03   0.1043571042583E+03   0.8196716308797E+03   0.4927229301897E+01  -0.4188384365191E+01
 0.69100E+03   0.1043571983203E+03   0.8196860276737E+03   0.4927168980536E+01  -0.4188385918815E+01
 0.69400E+03   0.1043572503316E+03   0.8196998410358E+03   0.4927993968790E+01  -0.4188387481434E+01
 0.69700E+03   0.1043573357942E+03   0.8197111451571E+03   0.4928314574949E+01  -0.4188389043772E+01
 0.70000E+03   0.1043574223214E+03   0.8197295745367E+03   0.4928378250087E+01  -0.4188390618265E+01
 0.70300E+03   0.1043574813244E+03   0.8197342888789E+03   0.4929311108608E+01  -0.4188392196717E+01
 0.70600E+03   0.1043575873177E+03   0.8197494081891E+03   0.4929169044374E+01  -0.4188393781198E+01
 0.70900E+03   0.1043576488986E+03   0.8197639066092E+03   0.4929921745637E+01  -0.4188395374133E+01
 0.71200E+03   0.1043577336087E+03   0.8197800717480E+03   0.4930266789485E+01  -0.4188396974644E+01
 0.71500E+03   0.1043578427730E+03   0.8197910428411E+03   0.4930227389716E+01  -0.4188398578837E+01
 0.71800E+03   0.1043579121842E+03   0.8198019357875E+03   0.4930751694017E+01  -0.4188400189881E+01
 0.72100E+03   0.1043580112101E+03   0.8198153350142E+03   0.4931004899446E+01  -0.4188401807670E+01
 0.72400E+03   0.1043580975421E+03   0.8198356432001E+03   0.4931137350807E+01  -0.4188403434273E+01
 0.72700E+03   0.1043581870036E+03   0.8198402563024E+03   0.4931627028064E+01  -0.4188405060193E+01
 0.73000E+03   0.1043582634336E+03   0.8198497140123E+03   0.4932244336033E+01  -0.4188406693893E+01
 0.73300E+03   0.1043583307365E+03   0.8198639101173E+03   0.4932806110001E+01  -0.4188408340974E+01
 0.73600E+03   0.1043584421456E+03   0.8198779795752E+03   0.4932965366044E+01  -0.4188409992152E+01
 0.73900E+03   0.1043585417218E+03   0.8198938323881E+03   0.4933333085542E+01  -0.4188411648003E+01
 0.74200E+03   0.1043585926849E+03   0.8199075324762E+03   0.4934076748499E+01  -0.4188413311425E+01
 0.74500E+03   0.1043587406150E+03   0.8199226211851E+03   0.4933633749026E+01  -0.4188414979709E+01
 0.74800E+03   0.1043588115615E+03   0.8199271359065E+03   0.4934511084302E+01  -0.4188416652045E+01
 0.75100E+03   0.1043588922335E+03   0.8199330416596E+03   0.4935181712646E+01  -0.4188418331113E+01
 0.75400E+03   0.1043590320981E+03   0.8199561026201E+03   0.4934708538552E+01  -0.4188420021327E+01
 0.75700E+03   0.1043590852617E+03   0.8199616429742E+03   0.4935659209490E+01  -0.4188421714556E+01
 0.76000E+03   0.1043591976770E+03   0.8199768933749E+03   0.4935885440579E+01  -0.4188423416227E+01
